xml_id,entry_tag,type,title,authors,editors,pub_places,publishers,dates_text,date_attrs,notes,source_files,idno_varia,idno_riopac,idno_gnd,idno_geschichtsquellen,idno_handschriftencensus,idno_googlebooks,idno_gw,idno_uri,idno_opac_ri,idno_kalliope,idno_doi,idno_mdz,idno_dnb,idno_hathitrust,idno_bsb,idno_bsbink,idno_istc,idno_worldcat,idno_bavarikon,idno_archive,idno_dmgh
lassberg-literature-0134,bibl | biblStruct,historicalSource,Lied,Konrad von Bickenbach,,,,,,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,,,,,,,,,,,,,,,,
lassberg-literature-0135,bibl | biblStruct,contemporaryPublication,Wörterbuch zu Hartmanns Iwein | Wörterbuch zu Hartmannes Iwein,Georg Friedrich Benecke,,Göttingen,Dieterich,1833,when=1833,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,https://books.google.com/books?id=D9g3O6q-z-UC,,https://archive.org/details/worterbuchzuhartmannesiwein,,,,,,https://catalog.hathitrust.org/Record/006143462,,,,,,,
lassberg-literature-0136,bibl | biblStruct,historicalSource,"Liederbuch | Liederbuch der Klara Hätzlerin | Prag, Národní muzeum (Nationalmuseum), Cod. X A 12 | Berlin, Staatsbibliothek, mgf 488 (Teile aus dem Liederbuch) | Leipzig, Universitätsbibliothek, Ms. Apel 8 (Teile aus dem Liederbuch, „Bechsteinsche Handschrift“) | Liederbuch der Clara Hätzlerin. Aus der Handschrift des Böhmischen Museums zu Prag | Bibliothek der gesammten deutschen National-Literatur | Liederbuch der Clara Hätzlerin | Deutsche Neudrucke",Klara Hätzlerin,Karl Ferdinand Haltaus | Hanns Fischer,Augsburg | Prag | Berlin | Leipzig | Quedlinburg,G. Basse | De Gruyter,,from=1470;to=1471 | when=1840 | when=1966,Schreibsprache: ostschwäbisch.,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,https://d-nb.info/gnd/4266224-2,,https://handschriftencensus.de/werke/5968 | https://handschriftencensus.de/3722 | https://handschriftencensus.de/3719 | https://handschriftencensus.de/3724,https://books.google.com/books?id=cThTAAAAcAAJ,,https://www.manuscriptorium.com | https://archive.org/details/liederbuchdercla00htzl,,,,,,,,,,,,,
lassberg-literature-0137,bibl | biblStruct,contemporaryPublication,"Wernher eines Geistlichen im zwölften Jahrhundert Gedicht zur Ehre der Jungfrau Maria | Wernher, eines Geistlichen im zwölften Jahrhundert: Gedicht zur Ehre der Jungfrau Maria | Driu liet von der maget",Friedrich Oetter | Wernher (Priester),Friedrich Wilhelm Oetter,Nürnberg | Altdorf,J. C. Monath und J. F. Kussler,1802,when=1802,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,https://books.google.it/books?id=8VQ7AAAAcAAJ,,,,,,https://www.digitale-sammlungen.de/de/view/bsb11262940,,https://catalog.hathitrust.org/Record/100865099,,,,,,,
lassberg-literature-0138,bibl | biblStruct,contemporaryPublication,Du Cange Charles Du Fresne Glossarium Ad Scriptores Mediae Et Infimae Latinitatis | Glossarium ad scriptores mediae et infimae Latinitatis,Du Cange | Charles Du Fresne | Charles Du Fresne du Cange,,Basel,Fratres de Tournes,1762,when=1762,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,,,,,,,,,,,,,,,,
lassberg-literature-0139,bibl | biblStruct,historicalSource,"Predigtbuch | Basel, Universitätsbibliothek, Cod. G 2 II 58 | München, Bayerische Staatsbibliothek, Cgm 74 | Wien, Österreichische Nationalbibliothek, Cod. 2684* | Priester Konrad's deutsches Predigtbuch",Priester Konrad,Johann Schmidt,Basel | München | Wien,,,notBefore=1250 | when=1878,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,https://d-nb.info/gnd/1236611705,,https://handschriftencensus.de/werke/203,,,,,,,,,https://catalog.hathitrust.org/Record/102961934,,,,,,,
lassberg-literature-0140,bibl | biblStruct,historicalSource,"Gregorius | Gregorius, der gute Sünder | Rom (Vatikanstadt), Biblioteca Apostolica Vaticana, Cod. Regin. lat. 1354 — mit <Gregorius> (Bl. 108r–136r) | Konstanz, Stadtarchiv, Hs. A I 1 — mit <Gregorius> (Bl. 12va–45rb) | Gregorius. Eine Erzählung von Hartmann von Aue",Hartmann von Aue,Karl Lachmann,Rom (Vatikanstadt) | Konstanz | Berlin,,,notBefore=1187;notAfter=1197 | notBefore=1200;notAfter=1250 | notBefore=1400;notAfter=1450 | when=1838,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,https://d-nb.info/gnd/4123346-3,,https://handschriftencensus.de/werke/149 | https://handschriftencensus.de/1092 | https://handschriftencensus.de/5275,,,https://digi.vatlib.it/view/MSS_Reg.lat.1354 | https://digi.ub.uni-heidelberg.de/iiif/2/konstanz_ai1%3A12v/full/full/0/default.jpg,,,,,,,,,,,,,
lassberg-literature-0141,bibl | biblStruct,contemporaryPublication,Gregorius. Eine Erzählung von Hartmann von Aue | Gregorius. Eine Erzählung,Karl Lachmann | Hartmann von Aue,Karl Lachmann,Berlin,G. Reimer,1838,when=1838,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,https://d-nb.info/1213868319,,,https://books.google.com/books?id=Em6M0QEACAAJ,,https://www.digitale-sammlungen.de/de/view/bsb10110423,,,,,https://d-nb.info/1213868319,,,,,,,,
lassberg-literature-0142,bibl | biblStruct,historicalSource,"Leben des heiligen Ulrich | St. Ulrichs Leben | Handschriftliche Überlieferung | St. Ulrichs Leben, lateinisch beschrieben durch Berno v. Reichenau und um das Jahr 1200 in deutsche Reime gebracht von Albertus | Das Leben des Heiligen Ulrich | Quellen und Forschungen zur Sprach- und Kulturgeschichte der germanischen Völker",Albert von Augsburg,Johann Andreas Schmeller | Karl-Ernst Geith,München | Berlin,de Gruyter,,notBefore=1200;notAfter=1235 | notAfter=1300 | when=1844 | when=1971,Einzige Überlieferung; Herkunft Würzburg.,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,https://d-nb.info/gnd/1232969346,https://geschichtsquellen.de/werk/70,https://www.handschriftencensus.de/werke/1009 | https://handschriftencensus.de/werke/1009,https://books.google.com/books?id=VgVKAAAAcAAJ,,https://daten.digitale-sammlungen.de/bsb00095888/image_57 | https://www.bayerische-bibliographie.de/baybib/Record/BV005188199 | https://api.pageplace.de/preview/DT0400.9783110816815_A36623895/preview-9783110816815_A36623895.pdf,,,,https://www.digitale-sammlungen.de/en/view/bsb10744376,,,,,,,,,
lassberg-literature-0143,bibl,historicalSource,Amor: die Liebe,,,,,1499,,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,https://www.gesamtkatalogderwiegendrucke.de/docs/AMOR.htm,,,,,,,,,,,,,,,,,,,,
lassberg-literature-0144,bibl,contemporaryPublication,Literarischer Grundriß zur Geschichte der deutschen Poesie,Friedrich Heinrich von der Hagen,,,,1812,,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,,,,,,,,,,,,,,,,
lassberg-literature-0145,bibl,historicalSource,Gedichte,Hugo von Montfort,,,,,,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,https://handschriftencensus.de/werke/948,,,,,,,,,,,,,,,,
lassberg-literature-0146,bibl,contemporaryPublication,Lateinische Gedichte des X. und XI. Jahrhunderts,Jacob Grimm | Johann Andreas Schmeller,,,,1838,,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,https://archive.org/details/lateinischegedic00grimuoft,,,,,,,,,,,,,,,,,,,,
lassberg-literature-0147,bibl | biblStruct,historicalSource,Barlaam und Josaphat | Barlaam und Joasaph | Rudolf von Ems: Barlaam und Josaphat | Dichtungen des deutschen Mittelalters,Rudolf von Ems,Friedrich Karl Köpke | Franz Pfeiffer,Königsberg | Leipzig,Nicolovius,,notBefore=1225;notAfter=1230 | when=1818 | when=1843,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,https://d-nb.info/gnd/4303311-8,,https://handschriftencensus.de/werke/321,https://books.google.com/books?id=8_U6AAAAcAAJ,,https://www.digitale-sammlungen.de/en/view/bsb10107283,,,,,,,,,,,,,
lassberg-literature-0148,bibl,historicalSource,Translationen,Niclas v. Wyle,,,,1478,,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,,https://www.gesamtkatalogderwiegendrucke.de/docs/M51838.htm,,,,,,,,,,,,,,
lassberg-literature-0149,bibl,contemporaryPublication,Der Schwabenspiegel oder schwäbisches Land- und Lehen-Rechtbuch,Friedrich L. A. von Laßberg | A. L. Reyscher,,Tübingen,,1840,,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,https://books.google.de/books?id=VZZDAAAAcAAJ,,,,,,,,,,,,,,,
lassberg-literature-0150,bibl | biblStruct,historicalSource,Predigten | Sermones | Die Predigten Taulers | Deutsche Texte des Mittelalters,Johannes Tauler,Ferdinand Vetter | Walter Lehmann,,Weidmann | E. Diederichs,,when=1910 | when=1913,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,https://d-nb.info/gnd/4322978-5,,https://handschriftencensus.de/werke/652,https://books.google.com/books?id=c6KfDQEACAAJ | https://books.google.com/books?id=B1tKAQAAMAAJ,,,,,,,,,,,,,,,
lassberg-literature-0151,bibl | biblStruct,contemporaryPublication,Glossar zum altdeutschen Lesebuch | Wörterbuch zum altdeutschen Lesebuch | Deutsches Lesebuch,Wilhelm Wackernagel,,Basel,Druck und Verlag der Schweighauserischen Buchhandlung,1840,when=1840,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,https://books.google.de/books?id=ga0sAQAAMAAJ,,https://hdl.handle.net/2027/uc1.l0054619838 | https://catalog.hathitrust.org/Record/010883875,,,,,,,,,,,,,
