[invalid-url-note] lassberg-letter-3048: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3053: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3055: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3059: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3062: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3083: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3092: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3109: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3115: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3167: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3171: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3178: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3207: published_in_url is not a URL, dropped: '-'
[rs-mentioned-mismatch] lassberg-letter-0952.xml: <rs> keys not present in <note type='mentioned'>: ['lassberg-correspondent-0179']
[place-under-received] lassberg-letter-0952: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[rs-mentioned-mismatch] lassberg-letter-0966.xml: <rs> keys not present in <note type='mentioned'>: ['lassberg-correspondent-0179']
[place-under-received] lassberg-letter-0966: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-0993: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1051: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1077: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1132: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1138: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1146: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1151: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1154: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0043') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1157: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0152') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1159: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1164: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1166: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1167: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1170: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1175: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1186: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1202: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1204: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1205: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0152') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1208: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1214: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1220: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1221: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0152') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1231: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1235: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1244: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0152') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1249: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1256: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1264: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1274: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
