PersonName;GND;Wiki;person_id;full_name;gender;birth;occupation;degrees;publications
Johann Daniel Wilhelm Hartmann;10058019X;https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann;lassberg-correspondent-0196;Hartmann, Wilhelm;male;1793;Künstler;1;-
Johann Heinrich Nepomuk Schreiber;118610694;https://de.wikipedia.org/wiki/Heinrich_Schreiber_(Historiker);lassberg-correspondent-0200;Schreiber, Heinrich;male;1793;Dozent,Hochschullehrer,Historiker,Schriftsteller,Bibliothekar,Publizist,Theologe;5;Prof. Dr. phil. Dr. theol. h.c.
Joseph Eutych Kopp;113668961;https://de.wikipedia.org/wiki/Joseph_Eutych_Kopp;lassberg-correspondent-0230;Kopp, Joseph Eutychius;male;1793;Philologe,Historiker,Pädagoge,Politiker;4;-
Karl Lachmann;118568558;https://de.wikipedia.org/wiki/Karl_Lachmann;lassberg-correspondent-0260;Lachmann, Karl;male;1793;Hochschullehrer,Gymnasiallehrer,Klassischer Philologe,Germanist;11;Prof.
Ludowine von Haxthausen;11655245X;-;lassberg-correspondent-0280;Haxthausen, Ludowine von;female;1794;Kanonissen;-;-
Adolf Ludwig Follen;116646772;https://de.wikipedia.org/wiki/Adolf_Ludwig_Follen;lassberg-correspondent-0004;Follen, August Adolf Ludwig;male;1794;Schriftsteller,Philosoph,Philologe;4;-
Carl Jäger;104288507;https://de.wikipedia.org/wiki/Karl_Friedrich_Jaeger;lassberg-correspondent-0056;Jäger, Carl;male;1794;Theologe,Pfarrer,Historiker;8;-
Casimir Pfyffer von Altishofen;11874092X;https://de.wikipedia.org/wiki/Casimir_Pfyffer;lassberg-correspondent-0062;Pfyffer von Altishofen, Kasimir;male;1794;Jurist,Publizist,Politiker;6;Dr.
Franz von Elger;1051119707;https://lobid.org/gnd/1051119707;lassberg-correspondent-0110;Elgger, Franz von;male;1794;Militärschriftsteller,Maler,Lithograf,Offizier;-;-
Ludwig Hassenpflug;119237644;https://de.wikipedia.org/wiki/Ludwig_Hassenpflug;lassberg-correspondent-0283;Hassenpflug, Ludwig;male;1794;Politiker;-;-
Amalie Christine zu Fu?rstenberg;136284116;https://en.wikipedia.org/wiki/Amalie_of_Baden;lassberg-correspondent-0010;Fürstenberg, Amalie Christine zu;female;1795;-;-;-
Jenny von Droste zu Hülshoff;118527541;https://de.wikipedia.org/wiki/Jenny_von_Droste_zu_H%C3%BClshoff;lassberg-correspondent-0176;Laßberg, Jenny von;female;1795;-;-;-
Georg Heinrich Pertz;118592858;https://de.wikipedia.org/wiki/Georg_Heinrich_Pertz;lassberg-correspondent-0137;Pertz, Georg Heinrich;male;1795;Bibliothekar,Redakteur,Historiker;1;-
