url;signature_letter;place_letter;date_letter;letter_id
https://dl.ub.uni-freiburg.de/diglit/autogr1614/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1614;Mannheim;1853-09-14;lassberg-letter-3056
https://dl.ub.uni-freiburg.de/diglit/autogr1615/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1615;Mannheim;1853-09-18;lassberg-letter-3057
https://dl.ub.uni-freiburg.de/diglit/autogr1617/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1617;Leipzig;1840-02-24;lassberg-letter-2165
https://dl.ub.uni-freiburg.de/diglit/autogr1618/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1618;Leipzig;1840-03-19;lassberg-letter-2171
https://dl.ub.uni-freiburg.de/diglit/autogr1619/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1619;Leipzig;1869-12-19;No letter found
https://dl.ub.uni-freiburg.de/diglit/autogr1620/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1620;Berlin;1809-12-18;lassberg-letter-0213
https://dl.ub.uni-freiburg.de/diglit/autogr1621/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1621;Frankfurt am Main;1817-07-28;lassberg-letter-0362
https://dl.ub.uni-freiburg.de/diglit/autogr1622/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1622;Berlin;1818-05-12;lassberg-letter-0479
https://dl.ub.uni-freiburg.de/diglit/autogr1623/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1623;Stuttgart;1843-01-16;No letter found
https://dl.ub.uni-freiburg.de/diglit/autogr1624/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1624;Stuttgart;1843-03-12;No letter found
https://dl.ub.uni-freiburg.de/diglit/autogr1625/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1625;Stuttgart;1843-04-30;lassberg-letter-2420
https://dl.ub.uni-freiburg.de/diglit/autogr1626/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1626;Stuttgart;1843-12-31;lassberg-letter-2463
https://dl.ub.uni-freiburg.de/diglit/autogr1540/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1540;Lähningen;1821-03-04;lassberg-letter-0709
https://dl.ub.uni-freiburg.de/diglit/autogr1541/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1541;Schaffhausen;1831-04-03;lassberg-letter-1540
https://dl.ub.uni-freiburg.de/diglit/autogr1542/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1542;Schaffhausen;1838-08-06;No letter found
